gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2837052997	StillImage	image/jpeg	https://observation.org/photos/16350395.jpg							Thijs de Groot			http://creativecommons.org/licenses/by-nc-nd/4.0/	Thijs de Groot
2837052997	StillImage	image/jpeg	https://observation.org/photos/16350394.jpg							Thijs de Groot			http://creativecommons.org/licenses/by-nc-nd/4.0/	Thijs de Groot
2837052997	StillImage	image/jpeg	https://observation.org/photos/16350393.jpg							Thijs de Groot			http://creativecommons.org/licenses/by-nc-nd/4.0/	Thijs de Groot
2837052997	StillImage	image/jpeg	https://observation.org/photos/16350392.jpg							Thijs de Groot			http://creativecommons.org/licenses/by-nc-nd/4.0/	Thijs de Groot
2837044814	StillImage	image/jpeg	https://observation.org/photos/20843307.jpg							Marieke en Dolf			http://creativecommons.org/licenses/by-nc-nd/4.0/	Marieke en Dolf
2837044615	StillImage	image/jpeg	https://observation.org/photos/20593240.jpg							Floris Kouters			http://creativecommons.org/licenses/by-nc-nd/4.0/	Floris Kouters
2837044615	StillImage	image/jpeg	https://observation.org/photos/20593241.jpg							Floris Kouters			http://creativecommons.org/licenses/by-nc-nd/4.0/	Floris Kouters
2837043555	StillImage	image/jpeg	https://observation.org/photos/1203116.jpg							Maarten Immerzeel			http://creativecommons.org/licenses/by-nc-nd/4.0/	Maarten Immerzeel
2837036090	StillImage	image/jpeg	https://observation.org/photos/16489809.jpg							Julien Preud'homme			http://creativecommons.org/licenses/by-nc/4.0/	Julien Preud'homme
2837035298	StillImage	image/jpeg	https://observation.org/photos/850686.jpg							Wilma van Holten			All rights reserved	Wilma van Holten
2837035298	StillImage	image/jpeg	https://observation.org/photos/850690.jpg							Wilma van Holten			All rights reserved	Wilma van Holten
2837035122	StillImage	image/jpeg	https://observation.org/photos/534819.jpg							Nico de Vries			All rights reserved	Nico de Vries
2837025635	StillImage	image/jpeg	https://observation.org/photos/22425101.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2837023077	StillImage	image/jpeg	https://observation.org/photos/19036674.jpg							Hans Mankor			http://creativecommons.org/licenses/by-nc-nd/4.0/	Hans Mankor
2837019853	StillImage	image/jpeg	https://observation.org/photos/16092274.jpg							Nico de Vries			All rights reserved	Nico de Vries
2837019388	StillImage	image/jpeg	https://observation.org/photos/15554003.jpg							Wilma De Rooij			http://creativecommons.org/licenses/by-nc-nd/4.0/	Wilma De Rooij
2836988168	StillImage	image/jpeg	https://observation.org/photos/22427582.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836988168	StillImage	image/jpeg	https://observation.org/photos/22427580.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836988168	StillImage	image/jpeg	https://observation.org/photos/22427581.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836982908	StillImage	image/jpeg	https://observation.org/photos/22755807.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836982908	StillImage	image/jpeg	https://observation.org/photos/22755808.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836982908	StillImage	image/jpeg	https://observation.org/photos/22755809.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836982908	StillImage	image/jpeg	https://observation.org/photos/22755810.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836982908	StillImage	image/jpeg	https://observation.org/photos/22755811.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836981917	StillImage	image/jpeg	https://observation.org/photos/21576144.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	peter de kraker
2836981285	StillImage	image/jpeg	https://observation.org/photos/22425216.jpg										http://creativecommons.org/licenses/by-nc-nd/4.0/	DJFM
2836973629	StillImage	image/jpeg	https://observation.org/photos/20498474.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2836973629	StillImage	image/jpeg	https://observation.org/photos/20498489.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2836973629	StillImage	image/jpeg	https://observation.org/photos/20498478.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
2836973629	StillImage	image/jpeg	https://observation.org/photos/20498482.jpg							Jan Koreneef			http://creativecommons.org/licenses/by-nc-nd/4.0/	Jan Koreneef
